eq_alphabet_size_per_side,eq_n_observed_pairs,eq_edge_density,eq_shared_classes,eq_residual_qcoords,eq_residual_bits,eq_cost_qcoords,eq_cost_bits,eq_class_sizes_left,eq_class_sizes_right,eq_observed_left_words,eq_observed_right_words,eq_mode,eq_shared_classes_mean,eq_shared_classes_min,eq_edge_density_mean,eq_residual_per_width,eq_cost_per_width,kB,kC,kD,kM,kA,k_total,q,w,n_initial_states,n_schedules,initial_pool,observer_init,extra_B,extra_C,extra_D,extra_A,eq_hidden_A_cost_qcoords,eq_hidden_A_cost_bits,eq_panel_cost_qcoords,eq_panel_residual_qcoords,product_sink_cost_qcoords,product_sink_cost_bits,product_cost_A_qcoords,product_cost_A_panel_qcoords,product_hidden_A_cost_qcoords,product_collapsed_vertices,product_fully_collapsed_vertices,product_admissibility_merges,overcollapse_avoided_qcoords,hidden_collapse_avoided_qcoords,equalizer_cost_fraction_of_product_A,rule_interface_mi_norm_mean,rule_interface_mi_bits_mean,rule_interface_copy_accuracy_mean,rule_interface_cond_entropy_bits_mean,rule_interface_output_entropy_bits_mean,rule_interface_n,rule_interface_roles,rule_ensemble,mutation_rate,selected,selection_threshold_qcoords,seed,instance,n_blocks
3,[6],0.6666666666666666,[1],0.0,0.0,2.0,3.169925001442312,[3],[3],3,3,joint,1.0,1,0.6666666666666666,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.2781610720626738,0.44087486837973316,0.6666666666666666,0.8679700005769252,1.3088448689566583,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065511,10,2
3,[3],0.3333333333333333,[2],0.6309297535714574,1.0,1.3690702464285427,2.169925001442312,"[2, 1]","[1, 1]",3,2,joint,2.0,2,0.3333333333333333,0.6309297535714574,1.3690702464285427,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.3690702464285427,0.6309297535714574,,,,,,0,0,0,,,,0.22347860722180463,0.3542052121599525,0.711111111111111,0.7455305560363266,1.0997357681962792,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,True,1e-09,1065512,11,2
3,[5],0.5555555555555556,[1],0.0,0.0,2.0,3.169925001442312,[3],[3],3,3,joint,1.0,1,0.5555555555555556,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3393546400789438,0.5378643789708506,0.6888888888888889,0.7899750004807709,1.3278393794516214,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065513,12,2
3,[4],0.4444444444444444,[1],0.0,0.0,2.0,3.169925001442312,[3],[2],3,2,joint,1.0,1,0.4444444444444444,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.31818659626942514,0.504313823319141,0.6888888888888889,0.8067502783066256,1.3110641016257667,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065514,13,2
3,[8],0.8888888888888888,[1],0.0,0.0,2.0,3.169925001442312,[3],[3],3,3,joint,1.0,1,0.8888888888888888,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.4248787871428431,0.6734169449732923,0.6666666666666667,0.8679700005769249,1.5413869455502174,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065515,14,2
3,[4],0.4444444444444444,[1],0.0,0.0,2.0,3.169925001442312,[2],[3],2,3,joint,1.0,1,0.4444444444444444,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3236596949198217,0.5129884794427672,0.6666666666666666,0.8679700005769252,1.3809584800196923,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065516,15,2
3,[6],0.6666666666666666,[1],0.0,0.0,2.0,3.169925001442312,[3],[3],3,3,joint,1.0,1,0.6666666666666666,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.5273704382531461,0.8358623686201186,0.8222222222222222,0.4897577781623945,1.325620146782513,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065517,16,2
3,[6],0.6666666666666666,[1],0.0,0.0,2.0,3.169925001442312,[3],[3],3,3,joint,1.0,1,0.6666666666666666,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.42347860722180475,0.6711977123041838,0.7555555555555554,0.6734169449732925,1.3446146572774762,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065518,17,2
3,[5],0.5555555555555556,[1],0.0,0.0,2.0,3.169925001442312,[3],[2],3,2,joint,1.0,1,0.5555555555555556,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.21289458531704533,0.3374299343340977,0.6666666666666667,0.8511947227510703,1.188624657085168,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065519,18,2
3,[5],0.5555555555555556,[1],0.0,0.0,2.0,3.169925001442312,[3],[2],3,2,joint,1.0,1,0.5555555555555556,0.0,2.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.38625344285712987,0.6121972227029927,0.711111111111111,0.7790811116880364,1.3912783343910289,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065520,19,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075508,0,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075509,1,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075510,2,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075511,3,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075512,4,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075513,5,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075514,6,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075515,7,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075516,8,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075517,9,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075518,10,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075519,11,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075520,12,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075521,13,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075522,14,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075523,15,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075524,16,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075525,17,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075526,18,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075527,19,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",permutive,0.0,True,1e-09,1085515,0,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",permutive,0.0,True,1e-09,1085516,1,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",permutive,0.0,True,1e-09,1085517,2,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",permutive,0.0,True,1e-09,1085518,3,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",permutive,0.0,True,1e-09,1085519,4,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",permutive,0.0,True,1e-09,1085520,5,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",permutive,0.0,True,1e-09,1085521,6,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",permutive,0.0,True,1e-09,1085522,7,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",permutive,0.0,True,1e-09,1085523,8,2
3,[3],0.3333333333333333,[3],1.0,1.584962500721156,1.0,1.584962500721156,"[1, 1, 1]","[1, 1, 1]",3,3,joint,3.0,3,0.3333333333333333,1.0,1.0,2,2,2,2,2,8,3,1,729,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,1.584962500721156,1.0,0.0,1.584962500721156,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",permutive,0.0,True,1e-09,1085524,9,2
