instance,rule_ensemble,k,q,horizon,A,B,U,A_size,B_size,U_size,raw_cancellation_ok,seam_edge_count,recurrent_state_count,local_pair_count,union_class_count,ambiguous_pair_count,gluing_accuracy,residual_entropy_bits,defect_candidate,A_vertices,B_vertices,U_vertices
1,observer_copy_pair,5,2,2,"(0,)","(1, 3, 4)","(0, 1, 3, 4)",1,3,4,True,0,4,2,2,0,1.0,0.0,False,[0],"[1, 3, 4]","[0, 1, 3, 4]"
2,observer_copy_pair,5,2,2,"(0, 3)","(1, 2, 4)","(0, 1, 2, 3, 4)",2,3,5,True,3,4,2,1,0,1.0,0.0,False,"[0, 3]","[1, 2, 4]","[0, 1, 2, 3, 4]"
2,observer_copy_pair,5,2,2,"(0, 4)","(1, 2, 3)","(0, 1, 2, 3, 4)",2,3,5,True,3,4,2,1,0,1.0,0.0,False,"[0, 4]","[1, 2, 3]","[0, 1, 2, 3, 4]"
2,observer_copy_pair,5,2,2,"(1, 2)","(0, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,3,4,2,1,0,1.0,0.0,False,"[1, 2]","[0, 3, 4]","[0, 1, 2, 3, 4]"
2,observer_copy_pair,5,2,2,"(0, 3)","(1, 2)","(0, 1, 2, 3)",2,2,4,True,2,4,2,2,0,1.0,0.0,False,"[0, 3]","[1, 2]","[0, 1, 2, 3]"
2,observer_copy_pair,5,2,2,"(0, 4)","(1, 2)","(0, 1, 2, 4)",2,2,4,True,2,4,2,2,0,1.0,0.0,False,"[0, 4]","[1, 2]","[0, 1, 2, 4]"
2,observer_copy_pair,5,2,2,"(0, 2)","(1, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,2,4,2,1,0,1.0,0.0,False,"[0, 2]","[1, 3, 4]","[0, 1, 2, 3, 4]"
2,observer_copy_pair,5,2,2,"(1, 3)","(0, 2, 4)","(0, 1, 2, 3, 4)",2,3,5,True,2,4,2,1,0,1.0,0.0,False,"[1, 3]","[0, 2, 4]","[0, 1, 2, 3, 4]"
2,observer_copy_pair,5,2,2,"(1, 4)","(0, 2, 3)","(0, 1, 2, 3, 4)",2,3,5,True,2,4,2,1,0,1.0,0.0,False,"[1, 4]","[0, 2, 3]","[0, 1, 2, 3, 4]"
2,observer_copy_pair,5,2,2,"(0,)","(1, 2)","(0, 1, 2)",1,2,3,True,1,4,2,2,0,1.0,0.0,False,[0],"[1, 2]","[0, 1, 2]"
2,observer_copy_pair,5,2,2,"(0,)","(1, 2, 3)","(0, 1, 2, 3)",1,3,4,True,1,4,2,2,0,1.0,0.0,False,[0],"[1, 2, 3]","[0, 1, 2, 3]"
2,observer_copy_pair,5,2,2,"(0,)","(1, 2, 4)","(0, 1, 2, 4)",1,3,4,True,1,4,2,2,0,1.0,0.0,False,[0],"[1, 2, 4]","[0, 1, 2, 4]"
2,observer_copy_pair,5,2,2,"(0,)","(2, 3, 4)","(0, 2, 3, 4)",1,3,4,True,1,4,2,1,0,1.0,0.0,False,[0],"[2, 3, 4]","[0, 2, 3, 4]"
2,observer_copy_pair,5,2,2,"(0, 2)","(1, 3)","(0, 1, 2, 3)",2,2,4,True,1,4,2,2,0,1.0,0.0,False,"[0, 2]","[1, 3]","[0, 1, 2, 3]"
2,observer_copy_pair,5,2,2,"(0, 2)","(1, 4)","(0, 1, 2, 4)",2,2,4,True,1,4,2,2,0,1.0,0.0,False,"[0, 2]","[1, 4]","[0, 1, 2, 4]"
2,observer_copy_pair,5,2,2,"(0, 3)","(1, 4)","(0, 1, 3, 4)",2,2,4,True,1,4,2,2,0,1.0,0.0,False,"[0, 3]","[1, 4]","[0, 1, 3, 4]"
2,observer_copy_pair,5,2,2,"(0, 4)","(1, 3)","(0, 1, 3, 4)",2,2,4,True,1,4,2,2,0,1.0,0.0,False,"[0, 4]","[1, 3]","[0, 1, 3, 4]"
2,observer_copy_pair,5,2,2,"(0, 1)","(2, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,1,4,2,1,0,1.0,0.0,False,"[0, 1]","[2, 3, 4]","[0, 1, 2, 3, 4]"
2,observer_copy_pair,5,2,2,"(0,)","(1, 3)","(0, 1, 3)",1,2,3,True,0,4,2,2,0,1.0,0.0,False,[0],"[1, 3]","[0, 1, 3]"
2,observer_copy_pair,5,2,2,"(0,)","(1, 4)","(0, 1, 4)",1,2,3,True,0,4,2,2,0,1.0,0.0,False,[0],"[1, 4]","[0, 1, 4]"
2,observer_copy_pair,5,2,2,"(0,)","(1, 3, 4)","(0, 1, 3, 4)",1,3,4,True,0,4,2,2,0,1.0,0.0,False,[0],"[1, 3, 4]","[0, 1, 3, 4]"
0,xor_ring,5,2,2,"(0, 1)","(2, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[0, 1]","[2, 3, 4]","[0, 1, 2, 3, 4]"
0,xor_ring,5,2,2,"(0, 4)","(1, 2, 3)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[0, 4]","[1, 2, 3]","[0, 1, 2, 3, 4]"
0,xor_ring,5,2,2,"(1, 2)","(0, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[1, 2]","[0, 3, 4]","[0, 1, 2, 3, 4]"
0,xor_ring,5,2,2,"(2, 3)","(0, 1, 4)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[2, 3]","[0, 1, 4]","[0, 1, 2, 3, 4]"
0,xor_ring,5,2,2,"(3, 4)","(0, 1, 2)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[3, 4]","[0, 1, 2]","[0, 1, 2, 3, 4]"
0,xor_ring,5,2,2,"(0, 1)","(2, 3)","(0, 1, 2, 3)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[0, 1]","[2, 3]","[0, 1, 2, 3]"
0,xor_ring,5,2,2,"(0, 1)","(3, 4)","(0, 1, 3, 4)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[0, 1]","[3, 4]","[0, 1, 3, 4]"
0,xor_ring,5,2,2,"(0, 4)","(1, 2)","(0, 1, 2, 4)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[0, 4]","[1, 2]","[0, 1, 2, 4]"
0,xor_ring,5,2,2,"(0, 4)","(2, 3)","(0, 2, 3, 4)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[0, 4]","[2, 3]","[0, 2, 3, 4]"
0,xor_ring,5,2,2,"(1, 2)","(3, 4)","(1, 2, 3, 4)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[1, 2]","[3, 4]","[1, 2, 3, 4]"
1,xor_ring,5,2,2,"(0, 1)","(2, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[0, 1]","[2, 3, 4]","[0, 1, 2, 3, 4]"
1,xor_ring,5,2,2,"(0, 4)","(1, 2, 3)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[0, 4]","[1, 2, 3]","[0, 1, 2, 3, 4]"
1,xor_ring,5,2,2,"(1, 2)","(0, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[1, 2]","[0, 3, 4]","[0, 1, 2, 3, 4]"
1,xor_ring,5,2,2,"(2, 3)","(0, 1, 4)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[2, 3]","[0, 1, 4]","[0, 1, 2, 3, 4]"
1,xor_ring,5,2,2,"(3, 4)","(0, 1, 2)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[3, 4]","[0, 1, 2]","[0, 1, 2, 3, 4]"
1,xor_ring,5,2,2,"(0, 1)","(2, 3)","(0, 1, 2, 3)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[0, 1]","[2, 3]","[0, 1, 2, 3]"
1,xor_ring,5,2,2,"(0, 1)","(3, 4)","(0, 1, 3, 4)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[0, 1]","[3, 4]","[0, 1, 3, 4]"
1,xor_ring,5,2,2,"(0, 4)","(1, 2)","(0, 1, 2, 4)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[0, 4]","[1, 2]","[0, 1, 2, 4]"
1,xor_ring,5,2,2,"(0, 4)","(2, 3)","(0, 2, 3, 4)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[0, 4]","[2, 3]","[0, 2, 3, 4]"
1,xor_ring,5,2,2,"(1, 2)","(3, 4)","(1, 2, 3, 4)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[1, 2]","[3, 4]","[1, 2, 3, 4]"
2,xor_ring,5,2,2,"(0, 1)","(2, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[0, 1]","[2, 3, 4]","[0, 1, 2, 3, 4]"
2,xor_ring,5,2,2,"(0, 4)","(1, 2, 3)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[0, 4]","[1, 2, 3]","[0, 1, 2, 3, 4]"
2,xor_ring,5,2,2,"(1, 2)","(0, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[1, 2]","[0, 3, 4]","[0, 1, 2, 3, 4]"
2,xor_ring,5,2,2,"(2, 3)","(0, 1, 4)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[2, 3]","[0, 1, 4]","[0, 1, 2, 3, 4]"
2,xor_ring,5,2,2,"(3, 4)","(0, 1, 2)","(0, 1, 2, 3, 4)",2,3,5,True,4,31,1,1,0,1.0,0.0,False,"[3, 4]","[0, 1, 2]","[0, 1, 2, 3, 4]"
2,xor_ring,5,2,2,"(0, 1)","(2, 3)","(0, 1, 2, 3)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[0, 1]","[2, 3]","[0, 1, 2, 3]"
2,xor_ring,5,2,2,"(0, 1)","(3, 4)","(0, 1, 3, 4)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[0, 1]","[3, 4]","[0, 1, 3, 4]"
2,xor_ring,5,2,2,"(0, 4)","(1, 2)","(0, 1, 2, 4)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[0, 4]","[1, 2]","[0, 1, 2, 4]"
2,xor_ring,5,2,2,"(0, 4)","(2, 3)","(0, 2, 3, 4)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[0, 4]","[2, 3]","[0, 2, 3, 4]"
2,xor_ring,5,2,2,"(1, 2)","(3, 4)","(1, 2, 3, 4)",2,2,4,True,2,31,1,1,0,1.0,0.0,False,"[1, 2]","[3, 4]","[1, 2, 3, 4]"
0,random_scc,5,2,2,"(1, 2)","(0, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,5,8,1,1,0,1.0,0.0,False,"[1, 2]","[0, 3, 4]","[0, 1, 2, 3, 4]"
0,random_scc,5,2,2,"(0, 1)","(2, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,4,8,1,1,0,1.0,0.0,False,"[0, 1]","[2, 3, 4]","[0, 1, 2, 3, 4]"
0,random_scc,5,2,2,"(3, 4)","(0, 1, 2)","(0, 1, 2, 3, 4)",2,3,5,True,4,8,1,1,0,1.0,0.0,False,"[3, 4]","[0, 1, 2]","[0, 1, 2, 3, 4]"
0,random_scc,5,2,2,"(1, 2)","(3, 4)","(1, 2, 3, 4)",2,2,4,True,3,8,1,1,0,1.0,0.0,False,"[1, 2]","[3, 4]","[1, 2, 3, 4]"
0,random_scc,5,2,2,"(0, 1)","(3, 4)","(0, 1, 3, 4)",2,2,4,True,2,8,1,1,0,1.0,0.0,False,"[0, 1]","[3, 4]","[0, 1, 3, 4]"
